nik_kepala_keluarga,nama_kepala_keluarga,jumlah_anggota_keluarga,alamat,rt,rw,kelurahan,kecamatan,kabupaten_kota,provinsi,status_kepemilikan_rumah,jenis_lantai,jenis_dinding,jenis_atap,sumber_air_minum,sumber_penerangan,jenis_kloset,fasilitas_buang_tinja,luas_lantai,jumlah_kamar_tidur,akses_internet,akses_listrik,pendidikan_kepala_keluarga,pekerjaan_kepala_keluarga,status_perkawinan,jumlah_anak_balita,jumlah_anak_sekolah,pengeluaran_per_bulan,pendapatan_per_bulan,kepemilikan_lahan,kepemilikan_kendaraan,kepemilikan_tabungan,penerima_bansos,jenis_bansos,status_stunting,akses_fasilitas_kesehatan,riwayat_penyakit_kronis,disabilitas,tanggal_update,is_poor,rasio_pengeluaran_pendapatan,kepadatan_rumah,risk_score,stunting_risk_score,cluster,socio_segment,socio_segment_label,anomaly,anomaly_label
3201000000000010,Ayu Saputra,8,Jl. Contoh No.172,4,3,Kampung Manggis,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Asbes,Sumur,Non-PLN,Leher Angsa,SPAL,78,3,Tidak Ada,Ada,SMP,Petani,Belum Kawin,1,2,488240,707923,Tidak Ada,Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,Tidak Ada,Tidak,2025-03-19,1,0.6896795272932226,0.1025641025641025,0.3893550116174339,0.3893550116174339,2,1,Menengah,-1,Anomali
3201000000000011,Ayu Hidayat,5,Jl. Contoh No.156,9,1,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Bambu,Asbes,Sumur,Non-PLN,Leher Angsa,SPAL,66,4,Ada,Tidak Ada,SARJANA,Pedagang,Kawin,2,2,1265995,1409346,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Ya,Mudah,TBC,Tidak,2025-03-20,1,0.898285445873476,0.0757575757575757,0.4998262649892919,0.4998262649892919,2,2,Rentan,1,Normal
3201000000000012,Joko Hidayat,3,Jl. Contoh No.111,10,5,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Asbes,PDAM,PLN,Cemplung,SPAL,104,1,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,0,1,5182368,5096430,Ada,Ada,Ada,Ya,Tidak Ada,Ya,Sulit,TBC,Ya,2025-07-16,1,1.016862391909631,0.0288461538461538,0.4626025734898163,0.4626025734898163,0,0,Mampu,1,Normal
3201000000000013,Budi Santoso,8,Jl. Contoh No.109,4,2,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,37,4,Tidak Ada,Tidak Ada,SARJANA,Tidak Bekerja,Cerai Mati,2,3,1612838,1737918,Ada,Tidak Ada,Tidak Ada,Tidak,BPNT,Tidak,Tidak Ada,TBC,Ya,2025-05-15,0,0.9280288252955547,0.2162162162162162,0.4499853623057358,0.4499853623057358,1,2,Rentan,1,Normal
3201000000000014,Ayu Santoso,3,Jl. Contoh No.39,4,4,Pasar Usang,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Kayu,Genteng,Sumur,Non-PLN,Cemplung,Lubang Tanah,89,4,Tidak Ada,Ada,SMP,PNS,Cerai Mati,2,0,1815415,2467074,Tidak Ada,Tidak Ada,Ada,Tidak,BLT,Tidak,Sulit,Asma,Ya,2025-08-08,0,0.7358575381200564,0.0337078651685393,0.4264964190501858,0.4264964190501858,1,2,Rentan,1,Normal
3201000000000015,Ayu Saputra,7,Jl. Contoh No.43,8,2,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Bambu,Asbes,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,37,4,Ada,Ada,SMA,PNS,Cerai Hidup,0,3,2810693,4573860,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Mudah,TBC,Ya,2025-09-02,0,0.6145122500470063,0.1891891891891892,0.4211258886938453,0.4211258886938453,1,0,Mampu,1,Normal
3201000000000016,Budi Santoso,3,Jl. Contoh No.52,1,5,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Bambu,Asbes,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,109,3,Tidak Ada,Ada,SARJANA,Karyawan,Kawin,0,2,3776551,5953803,Ada,Ada,Tidak Ada,Tidak,Tidak Ada,Ya,Mudah,Asma,Ya,2025-02-23,0,0.6343090290357273,0.0275229357798165,0.3952163773605622,0.3952163773605622,1,0,Mampu,1,Normal
3201000000000017,Ayu Saputra,7,Jl. Contoh No.95,2,5,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,101,4,Ada,Tidak Ada,SMP,Tidak Bekerja,Cerai Hidup,2,4,5201826,5247386,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Ya,Mudah,Diabetes,Tidak,2025-04-25,0,0.9913175817445103,0.0693069306930693,0.4367351416963794,0.4367351416963794,1,0,Mampu,1,Normal
3201000000000018,Ayu Wijaya,5,Jl. Contoh No.55,6,3,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Kayu,Seng,PDAM,PLN,Leher Angsa,SPAL,50,4,Tidak Ada,Ada,DIPLOMA,Tidak Bekerja,Cerai Mati,1,0,2040808,3321899,Ada,Tidak Ada,Ada,Tidak,BPNT,Tidak,Tidak Ada,Asma,Tidak,2025-08-18,0,0.6143498041331178,0.1,0.4420436292400024,0.4420436292400024,0,2,Rentan,1,Normal
3201000000000019,Rina Hidayat,4,Jl. Contoh No.65,4,1,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Genteng,Air Kemasan,PLN,Leher Angsa,SPAL,114,4,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,0,2,3916524,5116993,Ada,Tidak Ada,Ada,Ya,BLT,Ya,Mudah,Asma,Tidak,2025-03-21,0,0.7653956141820011,0.0350877192982456,0.4232817098105767,0.4232817098105767,2,0,Mampu,1,Normal
3201000000000020,Rina Saputra,5,Jl. Contoh No.88,3,1,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Bambu,Genteng,PDAM,Non-PLN,Leher Angsa,SPAL,39,2,Tidak Ada,Ada,SMP,Petani,Cerai Mati,2,4,534781,602889,Ada,Tidak Ada,Tidak Ada,Tidak,BLT,Tidak,Sulit,Asma,Ya,2025-02-25,1,0.8870306142590095,0.1282051282051282,0.4653317284342377,0.4653317284342377,0,2,Rentan,1,Normal
3201000000000021,Agus Wijaya,3,Jl. Contoh No.142,2,2,Tanah Hitam,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,49,3,Tidak Ada,Tidak Ada,SD,Tidak Bekerja,Belum Kawin,1,4,2530193,2720012,Ada,Tidak Ada,Ada,Ya,BPNT,Tidak,Mudah,Tidak Ada,Ya,2025-03-26,0,0.9302139108209816,0.0612244897959183,0.4354316511153316,0.4354316511153316,0,2,Rentan,1,Normal
3201000000000022,Joko Saputra,4,Jl. Contoh No.129,9,4,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Kayu,Genteng,PDAM,Non-PLN,Cemplung,SPAL,31,2,Ada,Tidak Ada,SARJANA,Petani,Belum Kawin,1,4,2770472,4183886,Tidak Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Ya,Sulit,Diabetes,Tidak,2025-06-11,0,0.6621767419093159,0.1290322580645161,0.4501606459325035,0.4501606459325035,2,2,Rentan,1,Normal
3201000000000023,Rina Hidayat,7,Jl. Contoh No.103,9,1,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Tembok,Asbes,PDAM,PLN,Cemplung,SPAL,104,5,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,2,3,2632294,3266593,Tidak Ada,Ada,Ada,Tidak,BPNT,Tidak,Sulit,TBC,Ya,2025-01-21,0,0.8058224578329777,0.0673076923076923,0.4267992322773881,0.4267992322773881,2,1,Menengah,1,Normal
3201000000000024,Andi Saputra,2,Jl. Contoh No.58,2,4,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Asbes,Air Kemasan,Non-PLN,Cemplung,Lubang Tanah,81,4,Ada,Tidak Ada,SARJANA,Buruh,Cerai Mati,0,4,2719719,3106761,Ada,Ada,Tidak Ada,Tidak,BLT,Tidak,Mudah,Diabetes,Tidak,2025-08-28,0,0.8754194481004494,0.0246913580246913,0.4793543935224158,0.4793543935224158,1,1,Menengah,1,Normal
3201000000000025,Ayu Saputra,5,Jl. Contoh No.83,4,2,Ngalau,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Asbes,Sumur,Non-PLN,Cemplung,Lubang Tanah,69,2,Tidak Ada,Ada,SMP,Karyawan,Cerai Hidup,0,3,4225962,5017941,Ada,Tidak Ada,Ada,Ya,Tidak Ada,Ya,Mudah,TBC,Tidak,2025-06-20,0,0.8421705237267636,0.072463768115942,0.4863404802458637,0.4863404802458637,1,0,Mampu,1,Normal
3201000000000026,Andi Saputra,4,Jl. Contoh No.161,8,5,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Genteng,Air Kemasan,Non-PLN,Leher Angsa,SPAL,75,1,Ada,Tidak Ada,SMP,Tidak Bekerja,Cerai Hidup,0,0,3341424,3256207,Tidak Ada,Ada,Tidak Ada,Tidak,BLT,Tidak,Mudah,Hipertensi,Tidak,2025-03-06,1,1.02617063350088,0.0533333333333333,0.4398124982556091,0.4398124982556091,2,1,Menengah,1,Normal
3201000000000027,Fitri Wijaya,5,Jl. Contoh No.150,3,2,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Semen,Tembok,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,106,5,Ada,Ada,DIPLOMA,Pedagang,Cerai Hidup,2,3,5811590,5612787,Tidak Ada,Tidak Ada,Tidak Ada,Ya,Tidak Ada,Tidak,Mudah,Hipertensi,Tidak,2025-06-19,1,1.0354196587185651,0.0471698113207547,0.419760293596835,0.419760293596835,1,0,Mampu,-1,Anomali
3201000000000028,Tono Hidayat,2,Jl. Contoh No.145,1,5,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Genteng,Air Kemasan,Non-PLN,Leher Angsa,SPAL,99,3,Ada,Ada,SD,Pedagang,Cerai Mati,0,4,744902,684042,Tidak Ada,Ada,Ada,Tidak,BLT,Tidak,Mudah,Hipertensi,Ya,2025-09-12,1,1.0889711450466493,0.0202020202020202,0.4375149322274533,0.4375149322274533,0,1,Menengah,-1,Anomali
3201000000000029,Rina Hidayat,7,Jl. Contoh No.87,2,4,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Bambu,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,70,1,Tidak Ada,Ada,DIPLOMA,Pedagang,Cerai Hidup,2,3,2807056,2655621,Tidak Ada,Ada,Ada,Tidak,PKH,Tidak,Tidak Ada,Hipertensi,Ya,2025-08-23,1,1.0570243268900192,0.1,0.3882651674597008,0.3882651674597008,2,1,Menengah,1,Normal
3201000000000030,Budi Hidayat,5,Jl. Contoh No.30,2,2,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Asbes,PDAM,Non-PLN,Leher Angsa,Lubang Tanah,103,1,Tidak Ada,Tidak Ada,SMA,Petani,Cerai Hidup,0,3,990596,1478748,Tidak Ada,Ada,Tidak Ada,Ya,BLT,Tidak,Mudah,TBC,Tidak,2025-04-04,1,0.669888310922483,0.0485436893203883,0.3952163773605622,0.3952163773605622,1,1,Menengah,1,Normal
3201000000000031,Fitri Santoso,2,Jl. Contoh No.86,4,2,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Seng,Sumur,PLN,Leher Angsa,Lubang Tanah,119,2,Ada,Tidak Ada,SMP,Buruh,Cerai Hidup,0,0,2098872,2279272,Ada,Ada,Ada,Tidak,BPNT,Tidak,Mudah,Hipertensi,Tidak,2025-01-05,0,0.9208519211397324,0.0168067226890756,0.527468716820004,0.527468716820004,1,1,Menengah,1,Normal
3201000000000032,Ayu Santoso,5,Jl. Contoh No.129,4,5,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Kayu,Seng,PDAM,Non-PLN,Leher Angsa,SPAL,81,4,Tidak Ada,Ada,DIPLOMA,Tidak Bekerja,Cerai Mati,0,0,865917,1033163,Tidak Ada,Ada,Ada,Ya,BLT,Tidak,Sulit,Asma,Tidak,2025-08-17,1,0.8381223485548747,0.0617283950617283,0.4170925961234071,0.4170925961234071,0,1,Menengah,1,Normal
3201000000000033,Andi Wijaya,5,Jl. Contoh No.116,4,4,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Tembok,Asbes,Air Kemasan,PLN,Cemplung,Lubang Tanah,60,3,Tidak Ada,Ada,DIPLOMA,Petani,Kawin,0,0,1498306,1459774,Tidak Ada,Ada,Tidak Ada,Ya,PKH,Tidak,Tidak Ada,Tidak Ada,Tidak,2025-06-28,1,1.026395866757457,0.0833333333333333,0.4998262649892919,0.4998262649892919,1,1,Menengah,1,Normal
3201000000000034,Ayu Santoso,6,Jl. Contoh No.130,4,2,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,PDAM,Non-PLN,Leher Angsa,Lubang Tanah,93,2,Tidak Ada,Ada,SARJANA,Tidak Bekerja,Cerai Hidup,0,1,2622126,2912810,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Mudah,Asma,Tidak,2025-02-05,0,0.900204956725636,0.064516129032258,0.4451356675310173,0.4451356675310173,1,2,Rentan,1,Normal
3201000000000035,Tono Saputra,4,Jl. Contoh No.41,6,3,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Seng,Sumur,PLN,Leher Angsa,SPAL,116,5,Ada,Ada,SMA,PNS,Cerai Mati,1,4,3502461,4950011,Tidak Ada,Tidak Ada,Tidak Ada,Ya,PKH,Tidak,Sulit,Tidak Ada,Tidak,2025-08-17,0,0.707566306418309,0.0344827586206896,0.3957255149755603,0.3957255149755603,0,0,Mampu,1,Normal
3201000000000036,Fitri Santoso,2,Jl. Contoh No.53,5,2,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Asbes,Sumur,PLN,Cemplung,Lubang Tanah,42,2,Tidak Ada,Ada,SARJANA,Karyawan,Cerai Hidup,0,3,1874308,2349842,Ada,Tidak Ada,Ada,Tidak,PKH,Tidak,Tidak Ada,TBC,Tidak,2025-07-10,0,0.7976315003306605,0.0476190476190476,0.4710987389850453,0.4710987389850453,1,2,Rentan,1,Normal
3201000000000037,Agus Saputra,8,Jl. Contoh No.177,6,1,Kampung Manggis,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Bambu,Asbes,Air Kemasan,Non-PLN,Leher Angsa,Lubang Tanah,59,3,Ada,Tidak Ada,SMP,Petani,Kawin,2,4,731045,674957,Ada,Tidak Ada,Tidak Ada,Ya,BPNT,Ya,Mudah,Diabetes,Ya,2025-03-20,1,1.0830986270236471,0.135593220338983,0.4528789361454643,0.4528789361454643,1,2,Rentan,1,Normal
3201000000000038,Rina Saputra,8,Jl. Contoh No.145,10,4,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Semen,Kayu,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,76,1,Tidak Ada,Tidak Ada,SMA,Pedagang,Kawin,1,4,2136242,1986009,Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Sulit,Diabetes,Ya,2025-02-20,1,1.075645679349892,0.1052631578947368,0.4528789361454643,0.4528789361454643,0,2,Rentan,1,Normal
3201000000000039,Budi Saputra,8,Jl. Contoh No.147,4,3,Kampung Jambak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Genteng,Sumur,Non-PLN,Leher Angsa,Lubang Tanah,111,1,Ada,Ada,SMP,Tidak Bekerja,Cerai Mati,1,4,4708721,5368155,Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Sulit,Asma,Ya,2025-06-03,0,0.8771581670052374,0.072072072072072,0.4549855248184702,0.4549855248184702,1,0,Mampu,1,Normal
3201000000000040,Joko Hidayat,7,Jl. Contoh No.169,10,2,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Kayu,Seng,Sumur,Non-PLN,Cemplung,Lubang Tanah,36,5,Ada,Tidak Ada,SARJANA,PNS,Cerai Hidup,0,4,4865504,5180534,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Tidak,Mudah,Hipertensi,Tidak,2025-08-07,0,0.9391896665478888,0.1944444444444444,0.4189632031027956,0.4189632031027956,1,0,Mampu,1,Normal
3201000000000041,Siti Santoso,7,Jl. Contoh No.87,10,2,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,Sumur,PLN,Cemplung,SPAL,72,3,Ada,Tidak Ada,SARJANA,Pedagang,Cerai Mati,0,4,1149304,1799774,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Tidak,Sulit,Diabetes,Tidak,2025-09-17,0,0.6385823997901959,0.0972222222222222,0.3898426474103714,0.3898426474103714,0,2,Rentan,1,Normal
3201000000000042,Agus Hidayat,2,Jl. Contoh No.165,8,3,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Kayu,Seng,Sumur,Non-PLN,Leher Angsa,SPAL,54,4,Ada,Tidak Ada,SD,Buruh,Cerai Mati,1,0,2176554,2175185,Tidak Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Mudah,Diabetes,Ya,2025-01-11,1,1.0006293717545864,0.037037037037037,0.4275726227146413,0.4275726227146413,2,1,Menengah,1,Normal
3201000000000043,Joko Saputra,7,Jl. Contoh No.36,8,4,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Genteng,PDAM,PLN,Leher Angsa,Lubang Tanah,34,3,Ada,Tidak Ada,SD,Petani,Belum Kawin,1,4,1153779,1725150,Tidak Ada,Ada,Ada,Tidak,PKH,Ya,Tidak Ada,Hipertensi,Tidak,2025-07-01,0,0.6687992348491435,0.2058823529411764,0.4466576179010206,0.4466576179010206,1,1,Menengah,1,Normal
3201000000000044,Siti Hidayat,2,Jl. Contoh No.135,9,5,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Bambu,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,52,1,Tidak Ada,Ada,SMA,Buruh,Kawin,2,2,4273456,5287074,Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Tidak Ada,TBC,Ya,2025-03-03,0,0.8082837501423282,0.0384615384615384,0.4308675546288945,0.4308675546288945,1,0,Mampu,1,Normal
3201000000000045,Dewi Santoso,4,Jl. Contoh No.80,9,4,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Genteng,Air Kemasan,PLN,Cemplung,Lubang Tanah,119,1,Tidak Ada,Tidak Ada,SD,Pedagang,Cerai Mati,1,3,2075457,2961574,Tidak Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Tidak,Tidak Ada,Diabetes,Ya,2025-07-03,0,0.7007952527946288,0.0336134453781512,0.4386324704820153,0.4386324704820153,1,2,Rentan,1,Normal
3201000000000046,Siti Santoso,4,Jl. Contoh No.170,5,3,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Kayu,Asbes,Sumur,Non-PLN,Cemplung,Lubang Tanah,25,3,Tidak Ada,Tidak Ada,SD,Petani,Cerai Mati,1,4,3791007,5075770,Ada,Ada,Ada,Tidak,PKH,Ya,Mudah,Hipertensi,Tidak,2025-06-13,0,0.7468831330024804,0.16,0.4493776391088531,0.4493776391088531,1,0,Mampu,1,Normal
3201000000000047,Ayu Saputra,8,Jl. Contoh No.20,10,2,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Asbes,Air Kemasan,Non-PLN,Leher Angsa,SPAL,23,2,Tidak Ada,Tidak Ada,SARJANA,Petani,Cerai Hidup,1,3,4592276,4274224,Ada,Tidak Ada,Tidak Ada,Ya,PKH,Ya,Mudah,TBC,Ya,2025-08-03,1,1.07441163588993,0.3478260869565217,0.4071207780070255,0.4071207780070255,0,0,Mampu,1,Normal
