nik_kepala_keluarga,nama_kepala_keluarga,jumlah_anggota_keluarga,alamat,rt,rw,kelurahan,kecamatan,kabupaten_kota,provinsi,status_kepemilikan_rumah,jenis_lantai,jenis_dinding,jenis_atap,sumber_air_minum,sumber_penerangan,jenis_kloset,fasilitas_buang_tinja,luas_lantai,jumlah_kamar_tidur,akses_internet,akses_listrik,pendidikan_kepala_keluarga,pekerjaan_kepala_keluarga,status_perkawinan,jumlah_anak_balita,jumlah_anak_sekolah,pengeluaran_per_bulan,pendapatan_per_bulan,kepemilikan_lahan,kepemilikan_kendaraan,kepemilikan_tabungan,penerima_bansos,jenis_bansos,status_stunting,akses_fasilitas_kesehatan,riwayat_penyakit_kronis,disabilitas,tanggal_update,is_poor
3201000000000021,Agus Wijaya,3,Jl. Contoh No.142,02,02,Tanah Hitam,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,49,3,Tidak Ada,Tidak Ada,SD,Tidak Bekerja,Belum Kawin,1,4,2530193,2720012,Ada,Tidak Ada,Ada,Ya,BPNT,Tidak,Mudah,Tidak Ada,Ya,2025-03-26,0
3201000000000022,Joko Saputra,4,Jl. Contoh No.129,09,04,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Kayu,Genteng,PDAM,Non-PLN,Cemplung,SPAL,31,2,Ada,Tidak Ada,Sarjana,Petani,Belum Kawin,1,4,2770472,4183886,Tidak Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Ya,Sulit,Diabetes,Tidak,2025-06-11,0
3201000000000023,Rina Hidayat,7,Jl. Contoh No.103,09,01,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Tembok,Asbes,PDAM,PLN,Cemplung,SPAL,104,5,Tidak Ada,Tidak Ada,SD,Buruh,Cerai Hidup,2,3,2632294,3266593,Tidak Ada,Ada,Ada,Tidak,BPNT,Tidak,Sulit,TBC,Ya,2025-01-21,0
3201000000000024,Andi Saputra,2,Jl. Contoh No.58,02,04,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Asbes,Air Kemasan,Non-PLN,Cemplung,Lubang Tanah,81,4,Ada,Tidak Ada,Sarjana,Buruh,Cerai Mati,0,4,2719719,3106761,Ada,Ada,Tidak Ada,Tidak,BLT,Tidak,Mudah,Diabetes,Tidak,2025-08-28,0
3201000000000025,Ayu Saputra,5,Jl. Contoh No.83,04,02,Ngalau,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Asbes,Sumur,Non-PLN,Cemplung,Lubang Tanah,69,2,Tidak Ada,Ada,SMP,Karyawan,Cerai Hidup,0,3,4225962,5017941,Ada,Tidak Ada,Ada,Ya,Tidak Ada,Ya,Mudah,TBC,Tidak,2025-06-20,0
3201000000000026,Andi Saputra,4,Jl. Contoh No.161,08,05,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Bambu,Genteng,Air Kemasan,Non-PLN,Leher Angsa,SPAL,75,1,Ada,Tidak Ada,SMP,Tidak Bekerja,Cerai Hidup,0,0,3341424,3256207,Tidak Ada,Ada,Tidak Ada,Tidak,BLT,Tidak,Mudah,Hipertensi,Tidak,2025-03-06,1
3201000000000027,Fitri Wijaya,5,Jl. Contoh No.150,03,02,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Semen,Tembok,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,106,5,Ada,Ada,Diploma,Pedagang,Cerai Hidup,2,3,5811590,5612787,Tidak Ada,Tidak Ada,Tidak Ada,Ya,Tidak Ada,Tidak,Mudah,Hipertensi,Tidak,2025-06-19,1
3201000000000028,Tono Hidayat,2,Jl. Contoh No.145,01,05,Guguk Malintang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Genteng,Air Kemasan,Non-PLN,Leher Angsa,SPAL,99,3,Ada,Ada,SD,Pedagang,Cerai Mati,0,4,744902,684042,Tidak Ada,Ada,Ada,Tidak,BLT,Tidak,Mudah,Hipertensi,Ya,2025-09-12,1
3201000000000029,Rina Hidayat,7,Jl. Contoh No.87,02,04,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Tanah,Bambu,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,70,1,Tidak Ada,Ada,Diploma,Pedagang,Cerai Hidup,2,3,2807056,2655621,Tidak Ada,Ada,Ada,Tidak,PKH,Tidak,Tidak Ada,Hipertensi,Ya,2025-08-23,1
3201000000000030,Budi Hidayat,5,Jl. Contoh No.30,02,02,Koto Katiak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Asbes,PDAM,Non-PLN,Leher Angsa,Lubang Tanah,103,1,Tidak Ada,Tidak Ada,SMA,Petani,Cerai Hidup,0,3,990596,1478748,Tidak Ada,Ada,Tidak Ada,Ya,BLT,Tidak,Mudah,TBC,Tidak,2025-04-04,1
3201000000000031,Fitri Santoso,2,Jl. Contoh No.86,04,02,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Seng,Sumur,PLN,Leher Angsa,Lubang Tanah,119,2,Ada,Tidak Ada,SMP,Buruh,Cerai Hidup,0,0,2098872,2279272,Ada,Ada,Ada,Tidak,BPNT,Tidak,Mudah,Hipertensi,Tidak,2025-01-05,0
3201000000000032,Ayu Santoso,5,Jl. Contoh No.129,04,05,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Semen,Kayu,Seng,PDAM,Non-PLN,Leher Angsa,SPAL,81,4,Tidak Ada,Ada,Diploma,Tidak Bekerja,Cerai Mati,0,0,865917,1033163,Tidak Ada,Ada,Ada,Ya,BLT,Tidak,Sulit,Asma,Tidak,2025-08-17,1
3201000000000033,Andi Wijaya,5,Jl. Contoh No.116,04,04,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Tembok,Asbes,Air Kemasan,PLN,Cemplung,Lubang Tanah,60,3,Tidak Ada,Ada,Diploma,Petani,Kawin,0,0,1498306,1459774,Tidak Ada,Ada,Tidak Ada,Ya,PKH,Tidak,Tidak Ada,Tidak Ada,Tidak,2025-06-28,1
3201000000000034,Ayu Santoso,6,Jl. Contoh No.130,04,02,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,PDAM,Non-PLN,Leher Angsa,Lubang Tanah,93,2,Tidak Ada,Ada,Sarjana,Tidak Bekerja,Cerai Hidup,0,1,2622126,2912810,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Mudah,Asma,Tidak,2025-02-05,0
3201000000000035,Tono Saputra,4,Jl. Contoh No.41,06,03,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Seng,Sumur,PLN,Leher Angsa,SPAL,116,5,Ada,Ada,SMA,PNS,Cerai Mati,1,4,3502461,4950011,Tidak Ada,Tidak Ada,Tidak Ada,Ya,PKH,Tidak,Sulit,Tidak Ada,Tidak,2025-08-17,0
3201000000000036,Fitri Santoso,2,Jl. Contoh No.53,05,02,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Tembok,Asbes,Sumur,PLN,Cemplung,Lubang Tanah,42,2,Tidak Ada,Ada,Sarjana,Karyawan,Cerai Hidup,0,3,1874308,2349842,Ada,Tidak Ada,Ada,Tidak,PKH,Tidak,Tidak Ada,TBC,Tidak,2025-07-10,0
3201000000000037,Agus Saputra,8,Jl. Contoh No.177,06,01,Kampung Manggis,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Bambu,Asbes,Air Kemasan,Non-PLN,Leher Angsa,Lubang Tanah,59,3,Ada,Tidak Ada,SMP,Petani,Kawin,2,4,731045,674957,Ada,Tidak Ada,Tidak Ada,Ya,BPNT,Ya,Mudah,Diabetes,Ya,2025-03-20,1
3201000000000038,Rina Saputra,8,Jl. Contoh No.145,10,04,Balai-Balai,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Semen,Kayu,Seng,Air Kemasan,Non-PLN,Cemplung,SPAL,76,1,Tidak Ada,Tidak Ada,SMA,Pedagang,Kawin,1,4,2136242,1986009,Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Sulit,Diabetes,Ya,2025-02-20,1
3201000000000039,Budi Saputra,8,Jl. Contoh No.147,04,03,Kampung Jambak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Genteng,Sumur,Non-PLN,Leher Angsa,Lubang Tanah,111,1,Ada,Ada,SMP,Tidak Bekerja,Cerai Mati,1,4,4708721,5368155,Ada,Tidak Ada,Tidak Ada,Tidak,Tidak Ada,Tidak,Sulit,Asma,Ya,2025-06-03,0
3201000000000040,Joko Hidayat,7,Jl. Contoh No.169,10,02,Silaing Bawah,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Tanah,Kayu,Seng,Sumur,Non-PLN,Cemplung,Lubang Tanah,36,5,Ada,Tidak Ada,Sarjana,PNS,Cerai Hidup,0,4,4865504,5180534,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Tidak,Mudah,Hipertensi,Tidak,2025-08-07,0
3201000000000041,Siti Santoso,7,Jl. Contoh No.87,10,02,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,Sumur,PLN,Cemplung,SPAL,72,3,Ada,Tidak Ada,Sarjana,Pedagang,Cerai Mati,0,4,1149304,1799774,Ada,Tidak Ada,Tidak Ada,Ya,BLT,Tidak,Sulit,Diabetes,Tidak,2025-09-17,0
3201000000000042,Agus Hidayat,2,Jl. Contoh No.165,08,03,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Kayu,Seng,Sumur,Non-PLN,Leher Angsa,SPAL,54,4,Ada,Tidak Ada,SD,Buruh,Cerai Mati,1,0,2176554,2175185,Tidak Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Mudah,Diabetes,Ya,2025-01-11,1
3201000000000043,Joko Saputra,7,Jl. Contoh No.36,08,04,Ekor Lubuk,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Genteng,PDAM,PLN,Leher Angsa,Lubang Tanah,34,3,Ada,Tidak Ada,SD,Petani,Belum Kawin,1,4,1153779,1725150,Tidak Ada,Ada,Ada,Tidak,PKH,Ya,Tidak Ada,Hipertensi,Tidak,2025-07-01,0
3201000000000044,Siti Hidayat,2,Jl. Contoh No.135,09,05,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Bambu,Asbes,PDAM,PLN,Cemplung,Lubang Tanah,52,1,Tidak Ada,Ada,SMA,Buruh,Kawin,2,2,4273456,5287074,Ada,Ada,Tidak Ada,Tidak,BPNT,Tidak,Tidak Ada,TBC,Ya,2025-03-03,0
3201000000000045,Dewi Santoso,4,Jl. Contoh No.80,09,04,Silaing Atas,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Genteng,Air Kemasan,PLN,Cemplung,Lubang Tanah,119,1,Tidak Ada,Tidak Ada,SD,Pedagang,Cerai Mati,1,3,2075457,2961574,Tidak Ada,Tidak Ada,Ada,Tidak,Tidak Ada,Tidak,Tidak Ada,Diabetes,Ya,2025-07-03,0
3201000000000046,Siti Santoso,4,Jl. Contoh No.170,05,03,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Kayu,Asbes,Sumur,Non-PLN,Cemplung,Lubang Tanah,25,3,Tidak Ada,Tidak Ada,SD,Petani,Cerai Mati,1,4,3791007,5075770,Ada,Ada,Ada,Tidak,PKH,Ya,Mudah,Hipertensi,Tidak,2025-06-13,0
3201000000000047,Ayu Saputra,8,Jl. Contoh No.20,10,02,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Asbes,Air Kemasan,Non-PLN,Leher Angsa,SPAL,23,2,Tidak Ada,Tidak Ada,Sarjana,Petani,Cerai Hidup,1,3,4592276,4274224,Ada,Tidak Ada,Tidak Ada,Ya,PKH,Ya,Mudah,TBC,Ya,2025-08-03,1
3201000000000048,Joko Hidayat,8,Jl. Contoh No.41,03,03,Koto Panjang,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Bambu,Genteng,Sumur,PLN,Cemplung,SPAL,66,5,Tidak Ada,Tidak Ada,Sarjana,Buruh,Kawin,0,2,914153,1044748,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,PKH,Ya,Sulit,Tidak Ada,Tidak,2025-08-22,1
3201000000000049,Agus Wijaya,5,Jl. Contoh No.129,01,01,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Tanah,Tembok,Genteng,Sumur,Non-PLN,Leher Angsa,Lubang Tanah,86,3,Ada,Tidak Ada,SMP,Tidak Bekerja,Cerai Hidup,0,2,4714166,5124668,Ada,Ada,Ada,Ya,BLT,Ya,Mudah,Tidak Ada,Ya,2025-05-21,0
3201000000000050,Rina Hidayat,7,Jl. Contoh No.78,08,02,Kampung Manggis,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Tembok,Asbes,Sumur,PLN,Leher Angsa,Lubang Tanah,73,4,Tidak Ada,Ada,SMA,Karyawan,Belum Kawin,1,2,5227395,5685069,Tidak Ada,Tidak Ada,Ada,Tidak,PKH,Tidak,Mudah,TBC,Ya,2025-05-15,0
3201000000000051,Tono Saputra,3,Jl. Contoh No.41,06,05,Bukit Surungan,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Bambu,Genteng,PDAM,Non-PLN,Cemplung,Lubang Tanah,83,1,Ada,Tidak Ada,Sarjana,PNS,Belum Kawin,0,4,820468,1312115,Tidak Ada,Ada,Ada,Tidak,Tidak Ada,Tidak,Sulit,Asma,Ya,2025-02-14,1
3201000000000052,Ayu Santoso,5,Jl. Contoh No.14,10,05,Pasar Usang,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Kayu,Asbes,Sumur,Non-PLN,Cemplung,Lubang Tanah,99,5,Ada,Ada,SD,PNS,Cerai Hidup,1,4,3503878,3568365,Tidak Ada,Ada,Ada,Tidak,PKH,Ya,Mudah,Hipertensi,Tidak,2025-08-17,0
3201000000000053,Agus Hidayat,6,Jl. Contoh No.82,03,04,Tanah Pak Lambik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Semen,Tembok,Seng,PDAM,Non-PLN,Cemplung,Lubang Tanah,22,3,Tidak Ada,Ada,Diploma,Karyawan,Cerai Hidup,2,0,5845782,5585681,Tidak Ada,Tidak Ada,Ada,Ya,Tidak Ada,Ya,Tidak Ada,Asma,Tidak,2025-03-27,1
3201000000000054,Siti Wijaya,2,Jl. Contoh No.113,06,04,Pasar Baru,Padang Panjang Barat,Padang Panjang,Sumatera Barat,Milik Sendiri,Keramik,Kayu,Genteng,PDAM,Non-PLN,Leher Angsa,SPAL,86,2,Tidak Ada,Tidak Ada,Sarjana,PNS,Cerai Hidup,0,3,5696037,5303067,Tidak Ada,Tidak Ada,Tidak Ada,Tidak,BPNT,Ya,Sulit,Asma,Tidak,2025-04-10,1
3201000000000055,Ayu Hidayat,4,Jl. Contoh No.32,10,05,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Keramik,Tembok,Genteng,PDAM,PLN,Cemplung,SPAL,64,4,Tidak Ada,Tidak Ada,SMP,Buruh,Cerai Hidup,2,2,3490752,4602055,Ada,Ada,Ada,Ya,PKH,Ya,Tidak Ada,Hipertensi,Ya,2025-02-14,0
3201000000000056,Agus Santoso,6,Jl. Contoh No.41,07,04,Kampung Jambak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Bambu,Asbes,PDAM,Non-PLN,Leher Angsa,SPAL,103,5,Ada,Ada,SMP,PNS,Belum Kawin,0,3,1263625,1343431,Tidak Ada,Ada,Tidak Ada,Ya,PKH,Tidak,Tidak Ada,Asma,Ya,2025-06-10,1
3201000000000057,Rina Hidayat,3,Jl. Contoh No.29,06,02,Kampung Jambak,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Menumpang,Keramik,Kayu,Asbes,Air Kemasan,PLN,Leher Angsa,Lubang Tanah,57,5,Ada,Ada,Sarjana,Tidak Bekerja,Cerai Mati,1,4,1667255,1625750,Tidak Ada,Ada,Tidak Ada,Ya,BPNT,Ya,Sulit,Diabetes,Ya,2025-01-09,1
3201000000000058,Ayu Hidayat,6,Jl. Contoh No.186,10,01,Koto Katik,Padang Panjang Timur,Padang Panjang,Sumatera Barat,Kontrak,Semen,Tembok,Seng,Sumur,PLN,Leher Angsa,Lubang Tanah,59,2,Tidak Ada,Tidak Ada,SD,Tidak Bekerja,Cerai Hidup,1,4,4149279,4247489,Ada,Ada,Ada,Tidak,BPNT,Tidak,Tidak Ada,Asma,Tidak,2025-07-23,0
